0013 fff1 // group 0 point0
ffd8 001b // group 0 point1
000f 001b // group 0 point2
fff4 0008 // group 0 point3
0035 fff0 // group 0 point4
0016 fffe // group 0 point5
fff6 fff4 // group 0 point6
ffde ffde // group 0 point7
ffe0 fffa // group 0 point8
ffe1 000c // group 0 point9
fffd fff7 // group 0 point10
000b ffe0 // group 0 point11
fffb fffa // group 0 point12
ffff 0035 // group 0 point13
fff8 000d // group 0 point14
0013 0010 // group 0 point15
fff3 0021 // group 0 point16
fff3 0000 // group 0 point17
000d ffe4 // group 0 point18
fffc 001b // group 0 point19
001c fffa // group 0 point20
0019 ffe5 // group 0 point21
ffed ffe8 // group 0 point22
0002 ffe8 // group 0 point23
fffc 0018 // group 0 point24
ffdf fff6 // group 0 point25
ffec ffe2 // group 0 point26
001b ffff // group 0 point27
000d 0026 // group 0 point28
fff2 0011 // group 0 point29
0012 000b // group 0 point30
000f fffa // group 0 point31
ffe2 0007 // group 0 point32
ffee 001f // group 0 point33
000c ffdc // group 0 point34
ffe5 ffea // group 0 point35
fffa 0001 // group 0 point36
001d 0015 // group 0 point37
0002 001a // group 0 point38
0014 ffe5 // group 0 point39
ffec 000d // group 0 point40
0014 ffec // group 0 point41
ffee 0029 // group 0 point42
fffc fff9 // group 0 point43
0015 0000 // group 0 point44
ffcc 0031 // group 0 point45
fff8 001d // group 0 point46
0003 0020 // group 0 point47
ffe7 001d // group 0 point48
fff6 fffd // group 0 point49
ffc9 0013 // group 0 point50
fff9 ffee // group 0 point51
ffea 0016 // group 0 point52
0003 ffee // group 0 point53
ffd7 0016 // group 0 point54
0026 0008 // group 0 point55
ffeb ffe5 // group 0 point56
000e 0010 // group 0 point57
0018 0032 // group 0 point58
fffb 0001 // group 0 point59
ffc9 000d // group 0 point60
000c fffc // group 0 point61
0010 fff4 // group 0 point62
0022 ffe4 // group 0 point63
0003 000d // group 0 point64
0004 001a // group 0 point65
fffe ffed // group 0 point66
ffeb 001f // group 0 point67
0003 fff7 // group 0 point68
ffb0 fffb // group 0 point69
0008 fff5 // group 0 point70
0036 0002 // group 0 point71
0031 0009 // group 0 point72
ffea 0007 // group 0 point73
0009 fff0 // group 0 point74
001c fff0 // group 0 point75
0001 fff9 // group 0 point76
000d ffef // group 0 point77
000d fffa // group 0 point78
0012 fff1 // group 0 point79
0013 fff5 // group 1 point0
000e 003a // group 1 point1
ffec 0012 // group 1 point2
0004 fff2 // group 1 point3
0007 0031 // group 1 point4
ffd8 ffed // group 1 point5
0007 0020 // group 1 point6
0012 002f // group 1 point7
000d ffdc // group 1 point8
fff8 ffeb // group 1 point9
000a 0019 // group 1 point10
0018 0002 // group 1 point11
0000 0019 // group 1 point12
fffe ffdb // group 1 point13
fff6 0007 // group 1 point14
ffda fff8 // group 1 point15
001d 0020 // group 1 point16
0010 001a // group 1 point17
0018 0022 // group 1 point18
0013 ffef // group 1 point19
ffff fff8 // group 1 point20
002b 0015 // group 1 point21
ffef ffe3 // group 1 point22
fff3 0012 // group 1 point23
0004 0021 // group 1 point24
001d 0008 // group 1 point25
fffc 0004 // group 1 point26
0016 ffed // group 1 point27
fff3 001a // group 1 point28
000a 0009 // group 1 point29
ffed 0011 // group 1 point30
fffa fffd // group 1 point31
0023 fff1 // group 1 point32
0004 fffc // group 1 point33
002d 0007 // group 1 point34
fff5 0015 // group 1 point35
000d 0014 // group 1 point36
0000 fff8 // group 1 point37
fff3 000a // group 1 point38
fff0 0001 // group 1 point39
001f ffd9 // group 1 point40
ffd4 ffd9 // group 1 point41
fffe 0000 // group 1 point42
0002 ffec // group 1 point43
fffa 0004 // group 1 point44
fff2 0008 // group 1 point45
ffe7 001a // group 1 point46
ffff fffd // group 1 point47
0013 fffc // group 1 point48
ffec ffe9 // group 1 point49
000f fffa // group 1 point50
0012 fffc // group 1 point51
ffdf fffa // group 1 point52
fff2 ffde // group 1 point53
0013 0012 // group 1 point54
0006 0006 // group 1 point55
0005 ffdd // group 1 point56
fff5 0001 // group 1 point57
001d 000c // group 1 point58
ffe7 ffd8 // group 1 point59
0003 fffd // group 1 point60
fff7 001a // group 1 point61
ffe2 fffc // group 1 point62
0001 0023 // group 1 point63
002d 000b // group 1 point64
ffeb 0027 // group 1 point65
ffd7 0004 // group 1 point66
ffed 0006 // group 1 point67
ffe6 ffe4 // group 1 point68
ffe5 001b // group 1 point69
ffe5 000d // group 1 point70
ffea 000c // group 1 point71
001e fffa // group 1 point72
0000 ffe9 // group 1 point73
ffe9 0020 // group 1 point74
0001 ffec // group 1 point75
0013 0003 // group 1 point76
ffe0 0009 // group 1 point77
0013 000c // group 1 point78
fffd fff5 // group 1 point79
fff7 0000 // group 2 point0
ffe9 0011 // group 2 point1
0006 0010 // group 2 point2
fffc ffbd // group 2 point3
002f 0007 // group 2 point4
0020 fff4 // group 2 point5
fffb 0009 // group 2 point6
ffe4 fff5 // group 2 point7
ffac fffa // group 2 point8
fffb 001f // group 2 point9
0022 ffdb // group 2 point10
001a fff6 // group 2 point11
fff8 ffea // group 2 point12
0019 ffdc // group 2 point13
0010 0016 // group 2 point14
000d ffd6 // group 2 point15
0031 fffd // group 2 point16
000f ffef // group 2 point17
ffe4 ffeb // group 2 point18
0009 fff8 // group 2 point19
ffe0 0001 // group 2 point20
000c fff1 // group 2 point21
ffdc 000e // group 2 point22
ffeb ffff // group 2 point23
fff3 000d // group 2 point24
0000 001a // group 2 point25
0007 0011 // group 2 point26
fff1 ffd2 // group 2 point27
ffef fff8 // group 2 point28
fffd 000c // group 2 point29
002d fffe // group 2 point30
ffde 000a // group 2 point31
0014 ffeb // group 2 point32
001d 0023 // group 2 point33
fffd ffcf // group 2 point34
fff5 ffe7 // group 2 point35
fffb fff1 // group 2 point36
ffe7 ffcd // group 2 point37
0011 000e // group 2 point38
000c fff8 // group 2 point39
fffb fff5 // group 2 point40
0007 0027 // group 2 point41
fff9 0028 // group 2 point42
ffdb 0019 // group 2 point43
fffc 0003 // group 2 point44
ffdc 0015 // group 2 point45
0008 ffd3 // group 2 point46
fff0 0000 // group 2 point47
0000 000c // group 2 point48
ffda ffe7 // group 2 point49
000a 0017 // group 2 point50
fff3 0004 // group 2 point51
ffed 001e // group 2 point52
ffd4 0026 // group 2 point53
fffa fffc // group 2 point54
001a 0017 // group 2 point55
0009 ffdc // group 2 point56
ffdc fffd // group 2 point57
000f ffda // group 2 point58
0008 0007 // group 2 point59
fff2 0002 // group 2 point60
fffe 0013 // group 2 point61
000f ffdc // group 2 point62
0002 0008 // group 2 point63
0000 0010 // group 2 point64
0009 ffe1 // group 2 point65
0010 ffe1 // group 2 point66
ffe0 ffe5 // group 2 point67
000f 0006 // group 2 point68
ffcd 0003 // group 2 point69
0022 001b // group 2 point70
0002 fff4 // group 2 point71
fffe ffe8 // group 2 point72
fff8 fff8 // group 2 point73
0005 000b // group 2 point74
ffde fffd // group 2 point75
ffff 0009 // group 2 point76
000e 0011 // group 2 point77
ffea fff8 // group 2 point78
0023 ffee // group 2 point79
fff9 ffe5 // group 3 point0
fffd 0009 // group 3 point1
0001 ffeb // group 3 point2
fffb fff7 // group 3 point3
0008 fff6 // group 3 point4
000e ffe8 // group 3 point5
000d ffe3 // group 3 point6
ffe7 000f // group 3 point7
ffc6 0006 // group 3 point8
003b fff9 // group 3 point9
000d ffeb // group 3 point10
ffff 001b // group 3 point11
ffe5 002e // group 3 point12
ffff fff4 // group 3 point13
fff6 fff6 // group 3 point14
fff2 ffec // group 3 point15
000a 0000 // group 3 point16
000d fff6 // group 3 point17
0016 fffb // group 3 point18
ffdf fff2 // group 3 point19
0007 0013 // group 3 point20
000d ffec // group 3 point21
fff5 0008 // group 3 point22
0019 ffea // group 3 point23
0006 0001 // group 3 point24
ffef 0006 // group 3 point25
000a ffed // group 3 point26
000f ffe5 // group 3 point27
0022 0000 // group 3 point28
ffde 0004 // group 3 point29
fff6 000b // group 3 point30
0008 ffd6 // group 3 point31
0022 0013 // group 3 point32
000c 0000 // group 3 point33
ffcb fffa // group 3 point34
0002 ffe3 // group 3 point35
ffeb fff4 // group 3 point36
ffde 000c // group 3 point37
ffff 0005 // group 3 point38
0023 0020 // group 3 point39
fff6 0008 // group 3 point40
000e 0000 // group 3 point41
0002 ffcf // group 3 point42
0005 0032 // group 3 point43
0004 0011 // group 3 point44
0041 0020 // group 3 point45
0005 000c // group 3 point46
0032 0003 // group 3 point47
ffec ffef // group 3 point48
0023 fff6 // group 3 point49
000b fff1 // group 3 point50
fff8 ffde // group 3 point51
fffd 002e // group 3 point52
fff7 0007 // group 3 point53
0003 ffe6 // group 3 point54
0007 fffd // group 3 point55
0026 fff7 // group 3 point56
000d 001b // group 3 point57
0014 0011 // group 3 point58
000e fffc // group 3 point59
ffe6 fffc // group 3 point60
